x,y,class
2.2483570765056164,4.930867849414407,1
2.3238442690503462,5.761514928204012,1
1.882923312638332,4.88293152152541,1
2.7896064077536957,5.383717364576454,1
1.765262807032524,5.2712800217929825,1
1.7682911535937689,4.767135123214872,1
2.1209811357830173,4.043359877671101,1
1.1375410837434836,4.718856235379514,1
1.4935844398327882,5.157123666297637,1
1.5459879622393946,4.293848149332354,1
2.732824384460777,4.8871118497567325,1
2.033764102343962,4.287625906893272,1
1.7278086377374087,5.055461294854933,1
1.4245032112888487,5.187849009172836,1
1.6996806550405976,4.854153125103362,1
1.6991466938853015,5.926139092254469,1
1.993251387631033,4.47114453552205,1
2.4112724560515946,4.389578175014488,1
2.104431797502378,4.0201649380601125,1
1.3359069755507846,5.098430617934562,1
2.3692332899977053,5.085684140594985,1
1.9421758588058797,4.849448152205356,1
1.2607390048162863,4.640077895802646,1
1.7696806145201063,5.528561113109458,1
2.1718091447842305,4.118479922318633,1
2.1620419846973977,4.807458859791842,1
1.6615389998470207,5.305838144420434,1
2.5154997612479755,5.465640059558099,1
1.5803912383886807,4.845393812074393,1
2.165631715701782,5.48777256356118,1
1.760412881077355,4.907170511668092,1
1.446832512996986,4.401896687959665,1
2.406262911197099,5.678120014285412,1
1.963994939209833,5.501766448946012,1
2.180818012523817,4.677440122697438,1
2.180697802754207,5.769018283232985,1
1.9820869804450243,5.782321827907003,1
0.6901274479551278,5.410951252187612,1
2.043523534119086,4.850496324767066,1
2.045880388267751,4.006215542699554,1
1.890164056081244,5.178556285755874,1
2.738947022370758,4.740864890863176,1
1.5957531985534061,4.749121478207732,1
2.457701058851037,5.164375554829842,1
1.7351198981164806,5.256633716556678,1
2.0485387746740202,5.484322495266444,1
1.6489734530613238,4.836168926701116,1
1.8039459234339212,4.268242525933941,1
2.148060138532288,5.130527636089945,1
2.0025567283212307,4.882706433312427,1
1.2923146289747929,4.78967733861732,1
1.8286427417366153,4.59886136538919,1
1.9193571441669954,5.20202542840727,1
2.943092950605265,5.087288906415919,1
2.1287751953613823,4.962777042116916,1
1.0406143923504794,4.986743062275392,1
2.030115104970513,6.231621056242643,1
1.9038195176094388,5.150773671166807,1
1.9826441151473784,4.415660981190234,1
2.5714114072575103,5.375966516343387,1
2.3955159735215235,4.54530627260263,1
2.7013971554680496,4.29907446860386,1
2.293428546900135,6.095227812904989,1
1.5047318374346559,4.716851135198614,1
2.049825682543821,4.7482621729419,1
1.2246682844669337,5.034281487403014,1
1.4688481431369476,5.23679621531759,1
1.5402878828830984,5.77496720250877,1
1.6083733538318814,4.838969241897162,1
2.406758608684835,4.3845678417830225,1
2.113729967302065,5.653571377141214,1
1.1962583827193862,5.092316929266152,1
2.129941397124212,5.390911435888655,1
1.381524644560959,4.339771693457862,1
2.2609707828084487,5.148492336616593,1
2.1252464251729384,5.1732241047484875,1
1.6599876392107547,5.116126848580501,1
2.146536236649341,4.642824290986816,1
2.9328872555723784,5.236916460455894,1
1.4043482513986758,5.328276804316915,1
1.5126591648863392,5.393542301871226,1
2.579297789503702,4.5896588408241445,1
2.481688064622161,5.206390463468249,1
2.411030079997245,5.948396491326974,1
1.8773059419985647,4.623131917821255,1
1.5552427851872384,4.592094857517281,1
1.961449145292948,5.170575987408322,1
2.1383453996650097,5.413591624518012,1
2.0065009459389533,5.726767038578658,1
1.867671583381022,6.360084583294809,1
2.312833673882503,4.571421221791859,1
1.464553750969444,5.241236207621593,1
1.8882686073370745,5.357000247046046,1
2.2366188122867725,4.963585543671564,1
1.5766031409657975,4.242576387657068,1
1.7767425239664894,5.428199397161736,1
2.107046872065102,4.377130610644006,1
2.086590462925591,5.192658689864419,1
1.5580712818994336,5.076862552972764,1
